report_date,project,section,display_order,analysis_text
2026-05-14,项目A,核心指标总览,1,"今日 DAU 54,494，环比-1.4%；营收 $3,882.71（广告 $1,553.08 + IAP $2,329.63），环比-3.6%；ARPDAU $0.0713；eCPM $9.60；首日留存 34.0%，7日留存 13.2%。"
2026-05-14,项目A,关键变化解读,2,今日主要变化：eCPM 连续第3天上升，激励视频位表现突出。建议重点关注 VN 市场的 ARPDAU 变化，可能与 竞品活动影响 有关。整体趋势需关注，建议明天重点排查数据波动原因。
2026-05-14,项目A,今日行动建议,3,1. 检查 US 的 D7 留存 是否持续下降；2. 确认 android 端最新版本 v1.1.23 的留存数据；3. 评估 Google Ads US 投放渠道的 ROI 是否需要调整出价。
2026-05-15,项目A,核心指标总览,1,"今日 DAU 54,403，环比+3.9%；营收 $4,460.31（广告 $1,784.12 + IAP $2,676.19），环比+1.9%；ARPDAU $0.0820；eCPM $9.73；首日留存 35.0%，7日留存 11.8%。"
2026-05-15,项目A,关键变化解读,2,今日主要变化：美国市场 IAP 收入环比增长 8%。建议重点关注 BR 市场的 eCPM 变化，可能与 新版本上线 有关。整体趋势平稳，暂不需要特别干预。
2026-05-15,项目A,今日行动建议,3,1. 检查 BR 的 eCPM 是否持续下降；2. 确认 ios 端最新版本 v3.9.89 的留存数据；3. 评估 Facebook BR 投放渠道的 ROI 是否需要调整出价。
2026-05-16,项目A,核心指标总览,1,"今日 DAU 50,534，环比-1.7%；营收 $4,247.99（广告 $1,699.20 + IAP $2,548.79），环比+1.4%；ARPDAU $0.0841；eCPM $9.19；首日留存 37.8%，7日留存 13.7%。"
2026-05-16,项目A,关键变化解读,2,今日主要变化：印度市场新增用户量持续放大但 ARPDAU 偏低。建议重点关注 PH 市场的 新增用户 变化，可能与 新版本上线 有关。整体趋势需关注，建议明天重点排查数据波动原因。
2026-05-16,项目A,今日行动建议,3,1. 检查 IN 的 ARPU 是否持续下降；2. 确认 android 端最新版本 v2.6.56 的留存数据；3. 评估 TikTok IN 投放渠道的 ROI 是否需要调整出价。
2026-05-17,项目A,核心指标总览,1,"今日 DAU 49,224，环比-4.3%；营收 $3,890.47（广告 $1,556.19 + IAP $2,334.28），环比+2.6%；ARPDAU $0.0790；eCPM $11.22；首日留存 34.4%，7日留存 10.8%。"
2026-05-17,项目A,关键变化解读,2,今日主要变化：巴西市场广告收入环比下降 5%，需关注填充率。建议重点关注 PH 市场的 留存率 变化，可能与 周末效应 有关。整体趋势平稳，暂不需要特别干预。
2026-05-17,项目A,今日行动建议,3,1. 检查 US 的 D7 留存 是否持续下降；2. 确认 ios 端最新版本 v1.2.39 的留存数据；3. 评估 Google Ads US 投放渠道的 ROI 是否需要调整出价。
2026-05-18,项目A,核心指标总览,1,"今日 DAU 55,128，环比-4.9%；营收 $4,764.33（广告 $1,905.73 + IAP $2,858.60），环比+2.2%；ARPDAU $0.0864；eCPM $12.54；首日留存 36.8%，7日留存 13.0%。"
2026-05-18,项目A,关键变化解读,2,今日主要变化：eCPM 连续第3天上升，激励视频位表现突出。建议重点关注 BR 市场的 ARPDAU 变化，可能与 竞品活动影响 有关。整体趋势平稳，暂不需要特别干预。
